left,keyword,right
the ground work of this little comedy dramatis person philadelphia,count,almeyda mr robertson count arandez warren carlos wood pacomo jefferson
this little comedy dramatis person philadelphia count almeyda mr robertson,count,arandez warren carlos wood pacomo jefferson gusman abercrombie pedrillo durang
men at arms pages servants scene at the castle of,count,almeyda in catalonia during the thirteenth century time twenty four
old man coming a little forward car carlos is the,count,'s castle nigh gus gusman the park gate is within
flourishing his sword car carlos stand aside rascal has the,count,a wife pac pacomo aside o lord the old game
me to the castle you must introduce me to the,count,gus gusman pardon me ' t is more than i
can not tell that signor but until he arrives the,count,forbids all male visitors car carlos positively gus gusman imperatively
drawbridge lowered a large door of entrance to the castle,count,almeyda enters hastily following a servant across the bridge alm
almeyda enters hastily following a servant across the bridge alm,count,almeyda where is he where is my old friend count
count almeyda where is he where is my old friend,count,arandez enters from the side ah welcome and again welcome
side ah welcome and again welcome my old comrade ar,count,arandez thank you almeyda thank you fy what a journey
and that 's not much to boast of neither alm,count,almeyda why in truth a journey of twenty leagues at
leagues at your years my friend is no trifle ar,count,arandez damn it almeyda why are you always talking of
you always talking of my years old humour my choleric,count,well but how is my good lady your countess and
what saint am i to thank for this visit ar,count,arandez you may thank the devil i think who put
my runagate son did you ever hear such folly alm,count,almeyda i must acknowledge i do n't perceive the countess
n't perceive the countess ' folly in this instance ar,count,arandez no not when i told her that your letters
stupid schemes and plans that were good for nothing alm,count,almeyda i am obliged to you and so you told
so you told the countess i was a fool ar,count,arandez i did nearly alm count almeyda and you have
was a fool ar count arandez i did nearly alm,count,almeyda and you have no faith in my schemes ar
