left,keyword,right
8950 dramatis person alexius emperour,of,greece godfrey of bouillon duke of lorraine bohemond prince of
8950 dramatis person alexius emperour of greece godfrey,of,bouillon duke of lorraine bohemond prince of tarentum tancred his
dramatis person alexius emperour of greece godfrey of bouillon duke,of,lorraine bohemond prince of tarentum tancred his cousin also a
of greece godfrey of bouillon duke of lorraine bohemond prince,of,tarentum tancred his cousin also a prince of tarento raymond
bohemond prince of tarentum tancred his cousin also a prince,of,tarento raymond count of thoulouse hugh count of vermandois peter
tancred his cousin also a prince of tarento raymond count,of,thoulouse hugh count of vermandois peter the hermit odo armour
a prince of tarento raymond count of thoulouse hugh count,of,vermandois peter the hermit odo armour bearer to tancred hafez
guard brother to odo phirouz the traitor kilidge arslan sultan,of,rohum called in the christian army sultan soliman guards soldiers
the christian army sultan soliman guards soldiers c sultana wife,of,kilidge arslan ra the first crusade 1097 scene partly in
is with pleasure i embrace the opportunity you give me,of,acknowledging the favour conferred by offering to my perusal your
the favour conferred by offering to my perusal your manuscript,of,tancred or the siege of antioch i am no critic
to my perusal your manuscript of tancred or the siege,of,antioch i am no critic therefore shall not presume to
its effect perfectly dramatic nor is it deficient in originality,of,character its success in the closet is certain and i
see it on the stage greeted with the warm approbation,of,a judicious and candid audience with every earnest wish for
any future anxiety for your friendly wishes for the success,of,tancred be pleased to accept the sincere thanks of the
success of tancred be pleased to accept the sincere thanks,of,the author main text act i scene i the emperour
bohemond boh bohemond our leag'ring armies now surround the walls,of,antioch the heralds have proclaimed suspended truce to morrow 's
in this holy cause i gave you as a token,of,my future friendship that cimeter which you now wear hast
girded on your thigh that sword you took the oath,of,fealty to greece and swore to hold the conquered cities
fealty to greece and swore to hold the conquered cities,of,the infidel in military fief to me and my successors
