trigram,count
kil kilidge arslan,17
' t is,13
count of thoulouse,12
raymond count of,8
tan tancred i,7
the walls of,6
the sultan kilidge,6
i pray you,6
tan tancred lady,6
i do not,6
i will not,6
tancred of tarento,6
walls of antioch,5
t is well,5
the fair sultana,5
ray raymond i,5
i have a,5
odo odo ',5
odo ' t,5
odo odo the,5
prince of tarento,4
in the christian,4
' t was,4
boh bohemond i,4
of the sultan,4
if you will,4
sul sultana i,4
the sultana 's,4
spy spy i,4
i have no,4
for the sultana,4
kilidge arslan i,4
phirouz the traitor,3
the christian camp,3
port st simeon,3
scene i the,3
i gave you,3
the oath of,3
oath of fealty,3
all the chiefs,3
