left,keyword,right
count of thoulouse hugh count of vermandois peter the hermit,odo,armour bearer to tancred hafez a guard brother to odo
odo armour bearer to tancred hafez a guard brother to,odo,phirouz the traitor kilidge arslan sultan of rohum called in
tancred scene v an inner court in the same castle,odo,superintending a boy who is scouring the armour of tancred
tancred rising from a side table on which are refreshments,odo,odo oh these wars these holy wars would that attends
rising from a side table on which are refreshments odo,odo,oh these wars these holy wars would that attends these
i believe ev'ry thing is ready for tomorrow 's march,odo,odo ' t is well our master will be off
believe ev'ry thing is ready for tomorrow 's march odo,odo,' t is well our master will be off by
who says he has urgent business with our master tancred,odo,odo hem well let him enter but harkee boy i
says he has urgent business with our master tancred odo,odo,hem well let him enter but harkee boy i 'll
enter kilidge arslan in the habit of a turkish spy,odo,odo what 's your business spy spy am i admitted
kilidge arslan in the habit of a turkish spy odo,odo,what 's your business spy spy am i admitted to
business spy spy am i admitted to the noble tancred,odo,odo why yes i bear the shield of tancred or
spy spy am i admitted to the noble tancred odo,odo,why yes i bear the shield of tancred or as
if so i have some business for your private ear,odo,odo my private ear oh yes i understand boy you
so i have some business for your private ear odo,odo,my private ear oh yes i understand boy you may
sends you this as a small token of his friendship,odo,odo ha the sultan reads arslan to tancred prince of
you this as a small token of his friendship odo,odo,ha the sultan reads arslan to tancred prince of tarento
to what you may expect provided my mission shall succeed,odo,odo well very well but you have travelled far and
what you may expect provided my mission shall succeed odo,odo,well very well but you have travelled far and have
refreshment friend spy spy i dare not eat with christians,odo,odo no but you may eat after a christian 's
